title,content
Annual jab for HIV protection passes trial hurdle,"An annual injection designed to guard against Human Immunodeficiency Virus (HIV) has completed an important early safety trial, researchers report inThe Lancetmedical journal.
Lenacapavir stops the virus from replicating inside cells.
If future trials go well - now it has passed the first, Phase I, testing hurdle - it could become the longest-acting form of HIV prevention available.
Currently,people can take daily pills or sometimes have injections every eight weeks, for pre-exposure prophylaxis (PrEP), to reduce their risk.
PrEP tablets are highly effective but taking them every day can be difficult.
About 39.9 million people are living with HIV, 65% of them in the World Health Organization African Region, according to the most recent figures, for 2023.
And the WHO, Global Fund and Joint United Nations Programme on HIV and Aids (UNAids) are all working on strategies to end the HIV epidemic by 2030, which include improving access to medicines such as PrEP.
For the trial, 40 people without HIV were injected into the muscle with lenacapavir, with no major side effects or safety concerns.
And after 56 weeks, the medicine was still detectable in their bodies.
Future trials must include more diverse participants, the researchers told the 2025Conference on Retroviruses and Opportunistic Infections.
But they added: ""Yearly dosing of lenacapavir has the potential to further decrease current barriers to PrEP by increasing the uptake of, persistence on, and, therefore, scalability of PrEP.""
Richard Angell, from the Terrence Higgins Trust HIV charity, said: ""PrEP as a daily pill has been a game-changer in our HIV response.
""The prospect of 'safe' annual injectable PrEP is as exciting as it is transformational.
""It's great to see these early results that suggest injectable PrEP might be effective for up to 12 months.
""We need to get ready for its rollout now and fund sexual-health clinics to do so.""
Access to PrEP had been variable, Mr Angell said, creating inequalities.
""The oral pill is still not available in prisons, online or in community pharmacy,"" he said.
""The Scottish Medicines Consortium has finally approved two-monthly PrEP injections for use in Scotland - but we are waiting for NICE [National Institute for Health and Care Excellence] approval for use in England.""
"
title,content
title,content
Google Chromecast users' fury at second day of TV streaming issue,"Google says it is working to fix an issue which has left many Chromecast users unable to watch content on their televisions for a second day.
The tech giant says it has sold more than 100m of these devices worldwide across various generations, with the issues specifically impacting the ""second generation"" model.
Owners of these Chromecasts have been unable to connect them to their televisions - meaning they cannot use streaming services like Netflix and YouTube on the big screen - with Chromecast Audio devices also facing issues.
And the company has warned users not to try to fix the problem themselves by performing a factory reset to affected devicesin a post on the Google Nest support forum.
""Do not factory reset your device - we will keep you all updated when the fix rolls out,"" it says.
""If you have already factory reset your device, we will provide instructions to set your device back up as soon as possible.""
But several social media users suggested Google's advice had come too late for some who had already reset their affected Chromecasts.
""Factory reset is literally the first thing I did when my Chromecast stopped working,"" wrote a user replying to Google on X.
""Google asking everyone to please not factory reset their Chromecast after hours when it's one of the most used fixes, is hilarious,""said another.
Google's Chromecast devices plug into TVs and allow users to stream content like web video and music wirelessly using a mobile device or laptop.
It also provides the ability to display anything from inside a tab on its Chrome web browser.
Customers first began to report issues affecting some Chromecasts and their ability to ""cast"" streaming content from devices to TVs on Sunday evening.
Users trying to stream content were met with alerts which said the device could not be authenticated, its connection had failed, or the Chromecast itself was ""untrusted"".
Googlesaid in August 2024it would be discontinuing Chromecast, replacing its 11-year-old device with a new Google TV system, but it promised to support existing devices with updates.
According to a report by The Register,the issue may have been caused by an expired authentication certificate.
The BBC has asked Google to confirm if this is indeed the case.
"
From chatbots to intelligent toys: How AI is booming in China,"Head in hands, eight-year-old Timmy muttered to himself as he tried to beat a robot powered by artificial intelligence at a game of chess.
But this was not an AI showroom or laboratory – this robot was living on a coffee table in a Beijing apartment, along with Timmy.
The first night it came home, Timmy hugged his little robot friend before heading to bed. He doesn't have a name for it – yet.
""It's like a little teacher or a little friend,"" the boy said, as he showed his mum the next move he was considering on the chess board.
Moments later, the robot chimed in: ""Congrats! You win."" Round eyes blinking on the screen, it began rearranging the pieces to start a new game as it continued in Mandarin: ""I've seen your ability, I will do better next time.""
China is embracing AI in its bid to become a tech superpower by 2030.
DeepSeek,the breakthrough Chinese chatbotthat caught the world's attention in January, was just the first hint of that ambition.
Money is pouring into AI businesses seeking more capital, fuelling domestic competition. There are more than 4,500 firms developing and selling AI, schools in the capital Beijing are introducing AI courses for primary and secondary students later this year, and universities have increased the number of places available for students studying AI.
""This is an inevitable trend. We will co-exist with AI,"" said Timmy's mum, Yan Xue. ""Children should get to know it as early as possible. We should not reject it.""
She is keen for her son to learn both chess and the strategy board game Go – the robot does both, which persuaded her that its $800 price tag was a good investment. Its creators are already planning to add a language tutoring programme.
Perhaps this was what the Chinese Communist Party hoped for when it declared in 2017 that AI would be ""the main driving force"" of the country's progress. President Xi Jinping is now betting big on it, as a slowing Chinese economy grapples with the blow of tariffs from its biggest trading partner, the United States.
Beijing plans to invest 10tn Chinese yuan ($1.4tn; £1tn) in the next 15 years as it competes with Washington to gain the edge in advanced tech. AI funding got yet another boost at the government's annual political gathering, which is currently under way. This comes on the heels of a 60 billion yuan-AI investment fund created in January, just days after the US further tightened export controls for advanced chips and placed more Chinese firms on a trade blacklist.
But DeepSeek has shown that Chinese companies can overcome these barriers. And that's what has stunned Silicon Valley and industry experts – they did not expect China to catch up so soon.
It's a reaction Tommy Tang has become accustomed to after six months of marketing his firm's chess-playing robot at various competitions.
Timmy's machine comes from the same company, SenseRobot, which offers a wide range in abilities – Chinese state media hailed an advanced version in 2022 that beat chess Grand Masters at the game.
""Parents will ask about the price, then they will ask where I am from. They expect me to come from the US or Europe. They seem surprised that I am from China,"" Mr Tang said, smiling. ""There will always be one or two seconds of silence when I say I am from China.""
His firm has sold more than 100,000 of the robots and now has a contract with a major US supermarket chain, Costco.
One of the secrets to China's engineering success is its young people. In 2020, more than 3.5 million of the country's students graduated with degrees in science, technology, engineering and maths, better known as STEM.
That's more than any other country in the world - and Beijing is keen to leverage it. ""Building strength in education, science and talent is a shared responsibility,"" Xi told party leaders last week.
Ever since China opened its economy to the world in the late 1970s, it has ""been through a process of accumulating talent and technology,"" says Abbott Lyu, vice-president of Shanghai-based Whalesbot, a firm that makes AI toys. ""In this era of AI, we've got many, many engineers, and they are hardworking.""
Behind him, a dinosaur made of variously coloured bricks roars to life. It's being controlled through code assembled on a smartphone by a seven-year-old.
The company is developing toys to help children as young as three learn code. Every package of bricks comes with a booklet of code. Children can then choose what they want to build and learn how to do it. The cheapest toy sells for around $40.
""Other countries have AI education robots as well, but when it comes to competitiveness and smart hardware, China is doing better,"" Mr Lyu insists.
The success of DeepSeek turned its CEO Liang Wenfeng into a national hero and ""is worth 10 billion yuan of advertising for [China's] AI industry,"" he added.
""It has let the public know that AI is not just a concept, that it can indeed change people's lives. It has inspired public curiosity.""
Six homegrown AI firms, including DeepSeek, have now been nicknamed China's six little dragons by the internet – the others are Unitree Robotics, Deep Robotics, BrainCo, Game Science, and Manycore Tech.
Some of them were at a recent AI fair in Shanghai, where the biggest Chinese firms in the business showed off their advances, from search and rescue robots to a backflipping dog-like one, which wandered the halls among visitors.
In one bustling exhibition hall, two teams of humanoid robots battled it out in a game of football, complete in red and blue jerseys. The machines fell when they clashed – and one of them was even taken off the field in a stretcher by their human handler who was keen to keep the joke going.
It was hard to miss the air of excitement among developers in the wake of DeepSeek. ""Deepseek means the world knows we are here,"" said Yu Jingji, a 26-year-old engineer.
But as the world learns of China's AI potential, there are also concerns about what AI is allowing the Chinese government to learn about its users.
AI is hungry for data - the more it gets, the smarter it makes itself and, with around a billion mobile phone users compared to just over 400 million in the US, Beijing has a real advantage.
The West, its allies and many experts in these countries believe that data gathered by Chinese apps such as DeepSeek, RedNote or TikTok can be accessed by the Chinese Communist Party. Some point to the country's National Intelligence Law as evidence of this.
But Chinese firms, including ByteDance, which owns TikTok, says the law allows for the protection of private companies and personal data. Still, suspicion that US user data on TikTok could end up in the hands of the Chinese government droveWashington's decision to ban the hugely popular app.
That same fear – where privacy concerns meet national security challenges - is hitting Deepseek. South Korea bannednew downloads of DeepSeek, while Taiwan and Australia havebarred the app from government-issued devices.
Chinese companies are aware of these sensitivities and Mr Tang was quick to tell the BBC that ""privacy was a red line"" for his company. Beijing also realises that this will be a challenge in its bid to be a global leader in AI.
""DeepSeek's rapid rise has triggered hostile reactions from some in the West,"" a commentary in the state-run Beijing Daily noted, adding that ""the development environment for China's AI models remains highly uncertain"".
But China's AI firms are not deterred. Rather, they believe thrifty innovation will win them an undeniable advantage – because it was DeepSeek's claim that it could rival ChatGPT for a fraction of the cost that shocked the AI industry.
So the engineering challenge is how to make more, for less. ""This was our Mission Impossible,"" Mr Tang said. His company found that the robotic arm used to move chess pieces was hugely expensive to produce and would drive the price up to around $40,000.
So, they tried using AI to help do the work of engineers and enhance the manufacturing process. Mr Tang claims that has driven the cost down to $1,000.
""This is innovation,"" he says. ""Artificial engineering is now integrated into the manufacturing process.""
This could have enormous implications as China applies AI on a vast scale. State media already show factories full of humanoid robots. In January, the government said that it would promote the development of AI-powered humanoid robots to help look after its rapidly ageing population.
Xi has repeatedly declared ""technological self-reliance"" a key goal, which means China wants to create its own advanced chips, to make up for US export restrictions that could hinder its plans.
The Chinese leader knows he is in for a long race – the Beijing Daily recently warned that the DeepSeek moment was not a time for ""AI triumphalism"" because China was still in ""catch-up mode"".
President Xi is investing heavily in artificial intelligence, robots and advanced tech in preparation for a marathon that he hopes China will eventually win.
"
title,content
Why people are cutting back their online profile,"Anita Smith has always been cautious about how much she shared online.
But her concerns increased following an abusive relationship with a partner, who later stalked her.
Although police intervened, she left the UK and also scaled back her online profile.
""I erased my online presence as much as I possibly could, including removing the locations of some posts, and a couple of Instagram accounts,"" says Ms Smith, whose name has been changed for this article.
Ms Smith, who works in communications, still has a LinkedIn account but doesn't use her full name.
""I deleted quite a few things off my LinkedIn too, lots of things that were location based, although a few posts do remain.
""I have posted recently as I'm trying to build a brand although I'm sceptical as to how much I share.""
She has kept an original private Facebook account: ""I cleanse it once a year, and check on photos and privacy of posts and where I have been tagged.""
Ms Smith has also become more aware of the terms and conditions of social media platforms.
""I follow AI trends and I know a lot of images are training AI models and we don't have ethical guidelines on how they can be used. That's another massive factor why I will never put my child on social media as the images can be used for whatever want.""
As scams become more sophisticated, research suggests that more people are concerned about the information they share online.
In a report by Statista, 39% of respondents said they were worried about how companies use their online data, while a quarter (26%) admitted to using a VPN.
There are a number of reasons why people might want to reduce their online profiles.
""First of all, people underappreciate privacy,"" says Vytautas Kaziukonis, chief executive at Surfshark, a security software company that encrypts user's online data and aims to make browsing secure.
""What might be innocent information right now might be bring you into difficulties 10 years down the line, for example, if there's a change of laws, or political environment.""
Another issue is the explosion of AI, says Mr Kaziukonis.
""Fraud is getting better and better, and one thing that is essential for all scams is having data,"" he says.
AI is getting to the stage where it can impersonate people close to you. Add to that ability any personal information shared online, then you have a ""deadly combination"", says Mr Kaziukonis.
Also, information shared online about us is collected by data brokers and sold to advertisers.
Mr Kaziukonis says the information is also available to scammers. ""It's the Wild West out there,"" he says.
So what can we do to minimise our footprints?
Firstly, it's important to think about how much information you share online.
""Don't share your home address anywhere, for example, accidently filming a video with a laptop in the background that has sensitive information on, and when you go online shopping don't add all details to every random website, for example, your date of birth,"" says Mr Kaziukonis.
""It could be leaked and used against you."" He also advises using a different email address for websites that you sign up to. ""That limits the spamming.""
It's worth remembering that under data protection law, you have the right to ask a company what data they hold on you, and request that it is deleted.
""They have to comply as otherwise they can receive huge fines,"" says Mr Kaziukonis.
Gus Hosein, executive director at charity Privacy International, recommends several ways to reduce your digital footprint.
He suggests using a VPN (virtual private network) which, for a price, offers a user more privacy when online.
He also recommends cookie-blockers and selecting web browsers with privacy controls.
""The underlying solution remains that we must keep the pressure on our governments to have strong laws to protect everyone,"" Mr Hosein says.
Karen Renaud is a computing scientist at the University of Strathclyde  working on security and privacy.
Last year she studied 15 privacy policy documents, which lay out what a company is going to do with your data.
She found that the most complicated of them would take 32 minutes to read and would require college-level education to understand.
""The situation is pretty dire,"" she says.
She advises it's a good idea to clear out the cookies on your browser from time to time, and reduce the cookies you accept.
""Also, you can stop some tracking. Google, for example, makes it possible to prevent tracking of your searches.""
Some people turn to services such as DeleteMe and Surfshark, which help remove personal information from data brokers.
Amanda Unterreiner, product manager at US-based data removal service DeleteMe, says high-profile individuals like video gamers and judges use their service as a safety measure.
""In the case of judges… because if they're announcing some decision, someone might show up at their house.""
She also mentions the case ofthe killing earlier last yearof United Healthcare chief executive Brian Thompson.
""Stories like that kind of spark regular people to think I better get protected.""
Ms Unterreiner went through the process of having her data removed when she joined the company.
""You could see every other place I had ever lived, every phone number I've ever had, every email address, on the first page of Google. If someone wanted to steal my identity… they would be able to cause some real personal damage.""
The company also offers a service to mask your house on Google Maps.
""You can look at street view, but that particular property will just be kind of very pixelated.""
There's multiple reasons why Saam Collingwood, who lives near Stratford-upon-Avon, has cut back her online profile over the years.
The first was following an incident at work where she had included her personal Facebook account on an email to a client and her employer was unhappy.
""They were able to see photos from a night out,"" she says. ""That didn't go down too well.""
In another incident she was trolled by a stranger online after posting a video of herself learning a dance routine on YouTube.
Plus, rising online fraud convinced her to further reduce her online profile.
She hasn't completely erased her online presence but she no longer posts regularly on Facebook, reducing it about twice a year.
""I don't like it when people tag me, people knowing I'm not at home. Most times I remove the tag.""
She says she has upgraded her anti-virus and security software with a service from online security firm Norton.
""I wanted to make sure websites weren't taking my details. It makes me more comfortable.""
But are there any downsides to not being so present online?
""I miss seeing old friends [on Facebook] and people I would contact once or twice year,"" says Ms Smith.
Mr Kaziukonis says it's common to hear people say they don't care about privacy but he believes this is a flawed argument.
""They say I have nothing to hide. But would they mind sharing every single email they have sent? We have curtains at home, we want to feel private. It's human nature.""
"
title,content
Global smartwatch sales fall for first time,"Global sales of smartwatches have fallen for the first time, new figures indicate, in large part due to a sharp decline in the popularity of market leader, Apple.
Market research firm Counterpoint says 7% fewer of the devices were shipped in 2024 compared to the year before.
Shipments of Apple Watches fell by 19% in that period, Counterpoint says.
It blames the slump on a lack of new features in Apple's latest devices, and the fact a rumoured high-end Ultra 3 model never materialised.
""The biggest driver of the decline was North America, where the absence of the Ultra 3 and minimal feature upgrades in the S10 lineup led consumers to hold back purchases,"" saidCounterpointsenior research analyst Anshika Jain.
Apple was also hit with sales and import bans in the US in late 2023 and early 2024 over adisputed patentregarding blood oxygen level monitoring - which Ms Jain says also contributed to lower sales figures in the first half of 2024.
It retained 22% of market share in the final three months of 2024, down from 25% a year earlier.
""We've been through a period where the smartwatch has gone from being a new and exciting gadget, to something now that's stabilising - the feature set isn't changing very dramatically year over year,"" said Leo Gebbie, principal analyst at CCS Insight.
Despite the overall decline, last year did see a massive rise in sales for Chinese-made smartwatches from brands such as Xiaomi, Huawei and Imoo.
Sales in China also grew from 19% of the market to 25% in the year from the last quarter of 2023.
This was the first time it recorded more smartwatch sales than India or North America, according to Counterpoint.
The Chinese manufacturers also appeared to tap into another trend - the growing popularity of smartwatches for children, the only segment of the market to grow in 2024.
Imoo, known in China as ""Little Genius"", specialises in children's smart watches and saw a 22% rise in shipments.
""The kids' smart watch segment is gaining traction as parents are concerned for their children's safety, and they desire to track and stay constantly connected with their children,"" Counterpoint's Balbir Singh said.
But Imoo was eclipsed by a 135% rise in shipments from Beijing-based tech company Xiaomi.
Its Smart Band activity trackers sell for a fraction of the price of rivals made by Apple and Samsung.
""We're seeing the large consumer electronics players like Apple and Samsung really just look to drive a way higher margin and not engage in the price war,"" said Mr Gebbie.
""Xiaomi has done a really good job of selling devices, particularly in regions like southern and eastern Europe where that greater affordability tends to resonate a lot more strongly with customers.""
Another large contributor to the global sales drop was India, which fell from 30% of the market to 23%.
He said this was partly because of a ""bubble"" in ultra-cheap devices from Indian manufacturers which has now burst.
""We read and saw a lot in terms of complaints about the quality of devices, with people being unhappy with them,"" he said.
""For those companies, there's been a sense that from this point onwards they would be better served by maybe making and selling products with a slightly longer lifespan.""
Counterpoint says it expects a small recovery in the global market, with ""single-digit percentage growth in 2025"".
It predicts the uptick in sales will be driven by the increasing adoption of AI features, and a greater emphasis of providing a wider range of health data.
"
