title,link
UK seeks trade deal as Trump metal tariffs take effectDuty on steel and aluminium imports is a major hit for some of the US's top trading partners.10 mins agoBusiness,https://www.bbc.com/news/articles/cx2r3md0j84o
"Is the US really heading into a recession?Stock market falls, tariffs and other changes are reigniting fear of economic downturn in the US.9 hrs agoBusiness",https://www.bbc.com/news/articles/cgr21jjwg4wo
Trump is no longer swayed by the stock marketsThe assumption that the US president would row back on policies if shares fell no longer holds true.15 hrs agoBusiness,https://www.bbc.com/news/articles/c4g7vq29g74o
Global smartwatch sales fall for first timeMarket researchers say the slumping popularity of the market-leading Apple Watch was to blame16 hrs agoTechnology,https://www.bbc.com/news/articles/cx20d3r7p5do
"Is the US really heading into a recession?Stock market falls, tariffs and other changes are reigniting fear of economic downturn in the US.9 hrs agoBusiness",https://www.bbc.com/news/articles/cgr21jjwg4wo
"US education department plans to cut half its workforceThe mass layoffs will impact nearly 2,100 people who are set to be placed on leave from 21 March.7 hrs agoUS & Canada",https://www.bbc.com/news/articles/c62zl638m71o
"Is Trump mulling a minerals deal with conflict-hit DR Congo?Endowed with minerals but losing ground to rebels, the Congolese government wants to boost security.8 hrs agoWorld",https://www.bbc.com/news/articles/cjryjlndddpo
Trump halts plan for 50% steel and aluminium tariffs on CanadaIt comes after the Canadian province of Ontario said it would suspend a 25% surcharge on US-bound electricity.10 hrs agoBusiness,https://www.bbc.com/news/articles/cm2y811g1dgo
From chatbots to intelligent toys: How AI is booming in ChinaChina plans to invest more than a trillion dollars as it races against the US to rule advanced tech.1 day agoAsia,https://www.bbc.com/news/articles/ckg8jqj393eo
"How one product made a multi-million dollar brandNell Diamond, CEO of Hill House Home, shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019.See more",https://www.bbc.com/worklife/article/20241129-how-one-product-created-a-multi-million-dollar-brand
Google Chromecast users' fury at second day of TV streaming issueGoogle says it is aware of an issue impacting some Chromecast devices and is working to fix.21 hrs ago,https://www.bbc.com/news/articles/ckgzm1lgv22o
"Trump says he will buy a Tesla after stock slumpThe US president blames ""radical left lunatics"" but analysts point to Tesla sales slump.19 hrs agoBusiness",https://www.bbc.com/news/articles/cqjdg4x08ylo
Why people are cutting back their online profileA new wave of AI has spurred some to think more carefully about their online presence.1 day ago,https://www.bbc.com/news/articles/ce8y2eez8y2o
"European stocks steady after US markets plungeThe global sell-off eases in Europe after US shares are hit by President Trump saying the economy is in ""transition"".22 hrs agoBusiness",https://www.bbc.com/news/articles/c4gdwgjkk1no
"Facebook 'worked hand in glove' with China on censor tools, claims ex-directorSocial media company considered letting Beijing control content for access to its lucrative market, BBC told.1 day agoTechnology",https://www.bbc.com/news/articles/cly820v99ppo
"Starmer says UK benefit system unfair and indefensibleSome Labour MPs urge ministers to tackle the ""crisis of economic inactivity"", while others oppose cuts.19 hrs agoPolitics",https://www.bbc.com/news/articles/c0kgpyz3mmpo
"1 day agoIllegal working in UK was unbearable, migrant saysA migrant who returned home after working in a Cannabis farm in the UK is warning other Albanians.1 day agoKent",https://www.bbc.com/news/articles/cwyez0y6kvlo
"21 hrs ago'Garbage' to blame Ukraine for massive X outage, experts sayThe claim has been made by the platform's owner Elon Musk, a vocal critic of Ukraine and its president.21 hrs agoTechnology",https://www.bbc.com/news/articles/c62x5k44rl0o
"2 days agoOntario says it will slap a 25% surcharge on US-bound electricityThe move is in retaliation to Trump's tariff threats on Canada, and is expected to raise energy costs for 1.5 million US homes.2 days agoUS & Canada",https://www.bbc.com/news/articles/c5yrpnr6kr2o
2 days agoThe 'anti-Trump' numbers man who may force the UK to take a sideThe incoming Canadian PM has made standing up to his US counterpart a big part of his campaign.2 days agoBusiness,https://www.bbc.com/news/articles/c80y3m249z3o
"2 days agoMusk's Tesla facilities in US face 'Takedown' protestsIt is part of an effort to protest the role Tesla's billionaire owner, Elon Musk, has played in the Trump administration.2 days agoUS & Canada",https://www.bbc.com/news/articles/cnvze9dzq8vo
"2 days ago'We go from dinner service to dealing with a corpse': What happens when an air passenger diesCrews will try to shield passengers from the body by using empty aisles, blankets and dim lighting.2 days agoBusiness",https://www.bbc.com/news/articles/cz9nj075yggo
2 days agoNorth Korean hackers cash out hundreds of millions from $1.5bn ByBit hackHackers from the infamous Lazarus Group are in a cat-and-mouse game to launder their stolen funds from the ByBit heist.2 days agoTechnology,https://www.bbc.com/news/articles/c2kgndwwd7lo
"2 days agoHow Britain's former top banker became Canada's next prime ministerThe former banker may not have been elected to office before, but his experience managing global economic crises will help.2 days agoUS & Canada",https://www.bbc.com/news/articles/c3911lv1pzko
